TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,TokenContractAddress,Type,TokenDecimals,TokenSymbol,TokensTransferred,TransactionFee,Status,ErrCode
0xb936f260e9dc801f2c027b3ab108bf60ca38a7a53ad1f3c37636e061d4930164,39048297,2026-04-26 01:08:25.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1905871435160000,ok,
0x4f04e91b883ca8c28fdbb5ee06e63d930ef248ce254c955e3d2f9c84ef7857e8,39048299,2026-04-26 01:08:26.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,3000,1905871435160000,ok,
0x7d445f7fd27c5567279e272ff1cdc4a7304b831a31a4fd16075582ac031f5762,39048302,2026-04-26 01:08:28.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1905871435160000,ok,
0x968addf4965f53e70bea153b744f4edcc645115f56c39b1bc761796372ea5155,39048304,2026-04-26 01:08:29.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,1000,1905631433720000,ok,
0x9a0567ee105c5705e569a9f16bb5ecd5299015d4e5f2e646c5e59ea6ed0e107a,39048307,2026-04-26 01:08:30.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,3000,1906031436120000,ok,
0x7e3f493f7c1749d204d9b367ea42ba0fce869817ccb434e26954cf96f730886b,39048315,2026-04-26 01:08:34.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1905871435160000,ok,
0xee47b55b191593c45e6e5abccb233e70693a1193c731aa9d2acbd1adba78fa63,39048318,2026-04-26 01:08:35.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1905871435160000,ok,
0x39ed898561e8f04590eba2532000f624243024eca54c5a3543fd0df10b5b78d2,39048321,2026-04-26 01:08:37.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1905631433720000,ok,
0x714302bbe01d04e6ee6a97b5e6fc11b548d0ae43ef9e5f7a6df676127c6a8b93,39048324,2026-04-26 01:08:39.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,2000,1906271437560000,ok,
0x013457b1c96c6c8321a9a55990ab77eff145b455f9abf8a7a5d00d28b0aedd10,39048327,2026-04-26 01:08:40.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,3000,1905871435160000,ok,
0xfecf3efc6e48d74e8c8af8b7f197d77ec6f4a19ee34fd9be0526d087ae2fed69,39048329,2026-04-26 01:08:41.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,5000,1905871435160000,ok,
0x2f632bff4cc0784eaecca9ddf31581898d3010bd56581bb6e4b94c1218d4fc43,39048332,2026-04-26 01:08:43.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,3000,1905631433720000,ok,
0x3588102191f2b0f3e0d81e06c50be72511da6e2719db817da9cb3eff43aa88b4,39048335,2026-04-26 01:08:45.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,5000,1906031436120000,ok,
0x4522951e1c940e3b6c7e282b756a1e9f4e3e6a91fc7b70f22e515c707ced284c,39048339,2026-04-26 01:08:47.000000Z,0xB4a7e0F7513D460CA3e42d0C596DBb25992034D3,0xb365abd412744637AFba53FDf30De8DE875F6eBf,0x3600000000000000000000000000000000000000,IN,6,USDC,5000,1906031436120000,ok,
